iter	Passed	Remaining
904	22788	2392
905	22812	2366
906	22838	2341
907	22864	2316
908	22889	2291
909	22914	2266
910	22939	2241
911	22966	2216
912	22990	2190
913	23015	2165
914	23040	2140
915	23066	2115
916	23091	2090
917	23117	2064
918	23144	2039
919	23170	2014
920	23198	1989
921	23225	1964
922	23252	1939
923	23278	1914
924	23304	1889
925	23330	1864
926	23356	1839
927	23381	1814
928	23408	1789
929	23436	1764
930	23463	1738
931	23488	1713
932	23515	1688
933	23541	1663
934	23567	1638
935	23592	1613
936	23617	1587
937	23642	1562
938	23669	1537
939	23696	1512
940	23719	1487
941	23745	1462
942	23769	1436
943	23794	1411
944	23818	1386
945	23841	1360
946	23866	1335
947	23889	1310
948	23913	1285
949	23938	1259
950	23961	1234
951	23984	1209
952	24007	1183
953	24031	1158
954	24057	1133
955	24079	1108
956	24104	1083
957	24129	1057
958	24153	1032
959	24176	1007
960	24199	982
961	24224	956
962	24249	931
963	24272	906
964	24295	881
965	24318	855
966	24342	830
967	24368	805
968	24390	780
969	24412	755
970	24440	729
971	24466	704
972	24495	679
973	24522	654
974	24549	629
975	24577	604
976	24604	579
977	24630	554
978	24656	528
979	24684	503
980	24713	478
981	24738	453
982	24764	428
983	24791	403
984	24818	377
985	24844	352
986	24870	327
987	24899	302
988	24925	277
989	24952	252
990	24979	226
991	25006	201
992	25033	176
993	25059	151
994	25086	126
995	25110	100
996	25134	75
997	25159	50
998	25183	25
999	25208	0
